"Name (english)","Acronym (english)","Name (french)","Acronym (French)","Street","Postcode","Town","Country","Tel","Fax","Website","Email","Funding","Nature of organisation","President First Name","President Last Name","President Address","SG First Name","SG Last Name","SG Address","Year of foundation","Staff","Number of members","Working languages","Official languages","Committes","Geographical representation","Areas of competence","yearStatus"
"International Press Institute","IPI","Institut International de la Presse","IIP","Spiegelgasse 2","1010","Vienna","Austria","+43 1 5129011","+43 1 5129014","www.freemedia.at","ipi@freemedia.at","Member fees, Public funding, Private donations","Association","Piotr","Niemczycki","Spiegelgasse 2 1010 Vienna Austria","David","Dadge","Spiegelgasse 2 1010 Vienna Austria","1950","10","2 000","English","English","Democracy, Social Cohesion and Global Challenges, Education and Culture","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Georgia, Azerbaijan, Latvia, Ukraine, Moldova, Bosnia and Herzegovina, Serbia, Iceland, Russian Federation, United Kingdom, Belarus, USA, Montenegro","Media and Communication, Freedom of expression, Media pluralism, Access to information, Media and conflicts, Media and minorities, Media and violence, Media assistance, Other, Security and access to Internet","0"
"International Professional Union of Gynaecologists and Obstetricians","UPIGO","Union professionnelle internationale des Gynécologues et Obstétriciens","UPIGO","1, rue de Firminy","F-67370","Dingsheim","France","+33 (0)3 88 56 17 77","","www.upigo.org","","Member fees","Federation","Klaus","König","Allemagne","Annik","Conzemius","Luxembourg","1953","0","0","French, English, German","French, English, German","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Danemark, Spain, France, Germany, Italy, Lithuania, Poland, Switzerland, Slovakia, Greece, Luxembourg, Serbia, United Kingdom","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Health, Youth, Other","1999"
"International Public Foundation 'Interlegal'","Interlegal","Fondation internationale publique Interlegal","*","","","","Russian Federation","+7 495 542-9724","+7 495 981-8520","www.interlegal.ru","ngo.advocacy@gmail.com","Member fees, Public funding, Private donations","Foundation","Nina","Belyaeva","22/24 Ovchinnikovskaya nab. Bld. 1 (105)","","","","1989","10","0","Russian, English","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Finland, Germany, Sweden, Greece, Georgia, Latvia, Ukraine, Russian Federation, United Kingdom, USA","Human rights, Democracy, International Co-operation, Education and Culture, Rule of Law, Youth","2007"
"International Save the Children Alliance - Europe Group","ISCA-EG","Alliance internationale Save the Children - Groupe européen","AISC-GE","St Vincent House - 30 Orange street","WC2H 7HH","London","United Kingdom","+44 203 272 0300","+44 208 237 8000","www.savethechildren.net","","","Association","","","","","","","0","0","0","","","","","","0"
"International Scientific Conference Minorities for Europe of Tomorrow","ISCOMET","Conférence scientifique internationale sur les minorités dans l'Europe de demain","ISCOMET","H. Tomsica 4","2000","Maribor","Slovenia","+386 2 250 04 40","+386 2 250 04 41","www.iscomet.org","iscomet@siol.net","","Association","Silvo","Pr. Dr. Devetak","","Jasmina","Klojcnik","","0","0","0","","","","","","0"
"International Society for Human Rights","SIDH","Société internationale pour les Droits de l'Homme","ISHR","Bordigsallee 9","60388","FRANKFURT am Main","Germany","0049 69420108 0","0049 69420108 33","www.ishr.org","is@ishr.org","Member fees, Public funding, Private donations","Association","Marat","ZAKHIDOV","Bordigsallee 9 FRANCKFURT am MAIN","Michel","BAUMAN","5a route de sauverny CH - 1290 VERSOIX","1948","12","5 000","Allemand - anglais - Français","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Croatia, France, Germany, Lithuania, Romania, Switzerland, Slovakia, Sweden, the former Yugoslav Republic of Macedonia, Georgia, Azerbaijan, Armenia, Latvia, Ukraine, Moldova, Russian Federation, United Kingdom, Belarus, USA","Human rights, Democracy, Social Cohension, International Co-operation, Health, Environment and sustanable development","2003"
"International Society of City and Regional Planners","ISOCARP","Association internationale des Urbanistes","AIU","P.O Box 983","2501 CZ","The Hague","Netherlands","31703462654","31704617909","www.isocarp.org","isocarp@isocarp.org","","Association","Milica","BAJIC-BRKOVIC","Kindly use Head Quarter's address in The Hague","Alex","MACGREGOR","Kindly use Head Quarter's address in The Hague","1965","4","620","english","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bosnia and Herzegovina, Bulgaria, Canada, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Greece, Hungary, Ireland, Italy, Luxembourg, Netherlands, Norway, Poland, Portugal, Romania, Russian Federation, Spain, Sweden, Switzerland, Turkey, United Kingdom, USA","Education and Culture, Environment and sustanable development, Human rights, International Co-operation, Social Cohension","1980"
"International Standing Conference on Philanthropy","INTERPHIL","Conférence internationale pour l'Etude et l'Encouragement de la Philanthropie","INTERPHIL","6, rue du 22 Novembre","67000","Strasbourg","France","+33 (0)3 88 31 08 57","+33 (0)3 88 31 48 62","","sforzanne@wanadoo.fr","Member fees, Private donations","Association","Anne","Sforza","","Cyril","Ritchie","CIC case 20 CH-1211 Genève 20","1969","2","400","anglais-français","anglais-français","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Danemark, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Romania, Slovenia, Switzerland, Slovakia, Sweden, Albania, Latvia, Malta, Ukraine, Monaco, Russian Federation, United Kingdom, USA, Canada","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law","2003"
"International Union for Conservation of Nature","IUCN","Union internationale pour la Conservation de la Nature","UICN","Rue Mauverney 28","1196","Gland","Switzerland","41 (22) 999-0000","41 (22) 999-0002","www.iucn.org","eu.liaison@iucn.org","Member fees, Public funding, Private donations","Association","Ashok","Dr. Khosla","Rue Mauverney 28 1196 Gland Switzerland","Julia","Ms. Marton-Lefevre","Rue Mauverney 28 1196 Gland Switzerland","1948","1 000","1 200","English","French","Democracy, Social Cohesion and Global Challenges","Belgium, Spain, Germany, Switzerland, Georgia, Serbia, United Kingdom, South Africa","Human rights, Gender equality, Democracy, Health, Environment and sustanable development, Environment protection, Sustainable tourism, Conservation/ protection of animals, Natural and technological disasters, Other, Strengthening civil society, Prevention","0"
"International Union of Bailiffs and Law Officers","UIHJ","Union internationale des Huissiers de Justice et Officiers judiciaires","UIHJ","","","","","","","","","","Association","","","","","","","0","0","0","","","","","","0"
"International Union of European Guides and Scouts","IUEGS","Union internationale des Guides et Scouts d'Europe","UIGSE","Le relais de poste - Route de Montargis","77570","Chateau-Landon","France","+33 1 60 74 28 20","","www.uigse.org","","Member fees","Federation","Nicoletta","ORZES","Italie","Martin","HAFNER","Allemagne","1963","0","55 000","Français","Français","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Czech Republic, Spain, France, Germany, Hungary, Italy, Lithuania, Poland, Portugal, Romania, Switzerland, Slovakia, Latvia, Ukraine, Russian Federation, Belarus, Canada","Human rights, Promotion and defence of Human Rights, Children's rights, Democracy, Promotion of democratic values and education for democratic citizenship, Social Cohension, Children, Family, International Co-operation, European integration, Education and Culture, Education for Democratic Citizenship, Heritage, Religion, Environment and sustanable development, Environment protection, Rural areas, Sustainable tourism, Media and Communication, Freedom of expression, Youth, Youth participation, Strengthening civil society","1980"
"International Union of Socialist Youth","IUSY","Union internationale des jeunesses socialistes","IUSY","Amtshausgasse 4","1050","Vienna","Austria","+43 1 5231267","+43 1 52312679","www.iusy.org","","Member fees","Association","Viviana","Piñeiro","iusy@iusy.org","Beatriz","Talegon","iusy@iusy.org","1907","3","0","English, Espanol, Francais","English, Espanol, Francais","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Georgia, Azerbaijan, Armenia, Latvia, Luxembourg, Malta, Ukraine, Moldova, Bosnia and Herzegovina, Serbia, Iceland, Russian Federation, United Kingdom, Belarus, USA, Montenegro, Canada, South Africa, Israel","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Environment and sustanable development, Media and Communication, Youth, Other","0"
"International Union of Tenants","IUT","Alliance Internationale des Locataires","IUT","P.O. Box 7514","SE 103 92","Stockholm","Sweden","+46 8 791 02 25","+46 8 20 43 44","www.iut.nu","","Member fees","Association","Sven","Carlsson","Norra Ågatan 5 A SE- 416 49 Göteborg SWEDEN","Magnus","Hammar","P.O. Box 7514 SE-103 92 Stockholm SWEDEN","1926","2","54","English","English","Democracy, Social Cohesion and Global Challenges","Austria, Belgium, Croatia, Czech Republic, Danemark, Spain, Finland, France, Germany, Italy, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Sweden, the former Yugoslav Republic of Macedonia, Latvia, Bosnia and Herzegovina, United Kingdom, USA","Human rights, Social Cohension, Other","2005"
"International Young Catholic Students - International Movement of Catholic Students, European Co-ordination","IYCS – IMCS","Jeunesse étudiante catholique internationale - Mouvement international des Etudiants catholiques, Coordination européenne","JECI-MIEC","7 impasse Reille","75014","Paris","France","+33(0)145481472","+33(0)142048453","www.iycs-jeci.org","","","Association","","","","","","","0","0","0","","","","","","0"
"Kolping International","KI","Kolping International","KI","Kolpingplatz, 5-11","50667","KÖLN","Germany","0049-221-77880-14","","www.kolping.net","ikw@kolping.net","Public funding, Private donations","Association","Ottmar","DILLENBURG","Kolpingplatz 5 - 11, D - 50667 KÖLN ","Markus","DEMELE","Kolpingplatz 5 - 11, D - 50667 KÖLN ","1849","24","400 000","German, English, Spanish","German, English, Spanish","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Albania, Austria, Belarus, Croatia, Czech Republic, Germany, Hungary, Italy, Lithuania, Luxembourg, Moldova, Montenegro, Netherlands, Poland, Portugal, Romania, Serbia, Slovakia, Slovenia, Switzerland, Ukraine, USA","Democracy, Education and Culture, Environment and sustanable development, Human rights, International Co-operation, Social Cohension, Youth","1974"
"Liberal International","LI","Liberal International","LI","1 Whitehall Place","SW1A 2HD","London","United Kingdom","+44(0)2078395905","+44(0)2079252685","www.liberal-international.org","","Member fees","Federation","John","Lord Alderdice","1 Whitehall Place, London SW1A 2HD United Kingdom","Emil","Kirjas","1 Whitehall Place London SW1A 2HD","61","5","102","English","English/French/Spanish","Democracy, Social Cohesion and Global Challenges, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Croatia, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Romania, Switzerland, Sweden, the former Yugoslav Republic of Macedonia, Latvia, Moldova, Serbia, Andorra, Russian Federation, United Kingdom, Montenegro, Canada","Human rights, Democracy, Social Cohension, International Co-operation, Rule of Law, Environment and sustanable development, Media and Communication, Youth","0"
"Lions Clubs International, European Districts","LCI","Lions Clubs International, Districts européens","LCI","300 W 22nd Street","60523-8842","Oak Brook, IL","USA","++1.630.571.5466","++1.630.571.8890","www.lionsclubs.org","programs@lionsclubs.org","Member fees, Public funding, Private donations","Association","Wayne A.","Madden","300 W 22nd Street Oak Brook, IL,60523-8842 USA","Peter","Lynch","300 W 22nd Street Oak Brook, IL,60523-8842 USA","1917","230","0","English + 10 others","English + 10 others","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Liechtenstein, Georgia, Azerbaijan, Armenia, Latvia, Luxembourg, Malta, Ukraine, Moldova, Bosnia and Herzegovina, Serbia, Iceland, Andorra, San Marino, Monaco, Russian Federation, United Kingdom, Belarus, USA, Montenegro","Human rights, Social Cohension, International Co-operation, Education and Culture, Health, Environment and sustanable development, Youth, Sport","1978"
"Marangopoulos Foundation for Human Rights","MFHR","Fondation Marangopoulos pour les droits de l'homme","FMDH","1, Lycavittou str.","10672","Athens","Greece","3,02104E+11","3,02104E+11","www.mfhr.gr","","","Foundation","Alice","Marangopoulos","1, Lycavittou str. 10672 Athens Greece","James","Farsedakis","1, Lycavittou str. 10672 Athens Greece","1977","9","0","greek, english, french","greek","Democracy, Social Cohesion and Global Challenges, Human Rights, Human Rights","Austria, France, Switzerland, Greece, USA","Human rights, Rule of Law, Environment and sustanable development, Other","1999"
"Médecins du Monde – International","*MdM","Médecins du Monde – International","*MdM","62, rue Marcadet","75018","Paris","France","+33 1 44 92 15 15","+33 1 44 92 99 99","www.mdm-international.org","laurence.pabois@medecinsdumonde.net","Member fees, Public funding, Private donations","Association","Olivier","BERNARD","62, rue Marcadet 75018 Paris","Patrick","BEAUVERIE","62, rue Marcadet 75018 Paris","1980","0","0","français, anglais, espagnol","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Belgium, Spain, France, Germany, Italy, Netherlands, Portugal, Switzerland, Sweden, Greece, United Kingdom, USA, Canada","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Health, Environment and sustanable development","0"
"MEMORIAL - International Historical and Educational Human Rights and Charity Society","*","MEMORIAL - Société internationale historique, éducative et caritative des droits de l'homme","*","12 Maliy Karetnyi","127051","Moscow","Russian Federation","","","www.memo.ru","memhrc@memo.ru","","Association","","","","","","","0","0","0","","","","","","0"
"Mental Disability Advocacy Center","MDAC","Centre de défence des droits des personnes Handicapées Mentales","MDAC","Rakoczi ut 27/B","1088","Budapest","Hungary","+36 1 413 2730","+36 1 413 2739","","","","Association","","","","","","","0","0","0","","","","","","0"
"Mental Health Europe","MHE","Santé Mentale Europe","SME","Boulevard Clovis 7","1000","Brussels","Belgium","+32 2 280 04 68","+32 2 280 16 04","www.mhe-sme.org","maria.nyman@mhe-sme.org","Member fees, Public funding, Private donations","Association","Maria","Nyman","","","","","1985","5","0","English and French","English and French","Democracy, Social Cohesion and Global Challenges, Human Rights","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Georgia, Latvia, Luxembourg, Malta, Ukraine, Iceland, United Kingdom","Human rights, Promotion and defence of Human Rights, Legal protection, Economics and social rights, Children's rights, Gender equality, Prevention of Torture, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Students, Children, Family, Disabled persons, The elderly, Migration, Intercommunity relations and integration, Refugees, Education and Culture, Cultural diversity, Health, Health and Ethics, Public Health, Rights of Minorities, Intercultural Dialogue, Prevention","1994"
"Mentor Foundation International","MF","Fondation Mentor","FM","22 Chelsea Manor Street","SW3 5RL","London","United Kingdom","+44 1509 221622","+44 1509 808111","www.mentorfoundation.org","info@mentorfoundation.org","Private donations","Foundation","","","HM The Queen of Sweden","Jeffrey","Lee","5 Forest Road Loughborough LE11 3NW United Kingdom","1994","6","0","English","","","Germany, Lithuania, Switzerland, Sweden, United Kingdom","Health, Public Health, Prevention","0"
"Migratory Birds of the Western Palearctic","OMPO","Oiseaux migrateurs du Paléarctique occidental","OMPO","","","","","","","","","","Association","","","","","","","0","0","0","","","","","","0"
"Minorities of Europe","MOE","Minorities of Europe","MOE","Legacy House - 29 Walsgrave Road","CV2 4HE","Coventry","United Kingdom","+ 44 2476 225 764","+44 2476 261 679","","","Public funding, Private donations","Association","Levent","Eyipisiren","see above","Deepak","Naik","see above","1995","0","0","English, Russian","English","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Armenia, Austria, Azerbaijan, Estonia, Georgia, Germany, Italy, Latvia, Moldova, Netherlands, Poland, Romania, Russian Federation, Serbia, the former Yugoslav Republic of Macedonia, Turkey, Ukraine, United Kingdom","Democracy, Elections, Equal democracy, local and regional democracy, Other, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Education and Culture, Human rights, International Co-operation, Media and Communication, Freedom of expression, Media and conflicts, Media and minorities, Media and violence, Media pluralism, Rule of Law, Fight against Terrorism, Strengthening of international public law, Social Cohension, Sport, Spectator violence, Youth","2006"
"Mission Europa","ME","Mission Europa","ME","30 Ave. Général Guisan","1009","PULLY","Switzerland","+41 22 753 17 43","+41 22 753 25 74","www.missioneuropa.free.fr","","Private donations","Federation","Michel","Muller","Domaine de la Boverie 221 rte du Mandement CH 1242 SATIGNY","Marise","Goldsmith-Dansaert","30 Ave Général Guisan CH 1009 PULLY","2002","0","150","Français et Anglais","Français et Anglais","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Belgium, Czech Republic, France, Hungary, Italy, Netherlands, Portugal, Romania, Spain, Switzerland, United Kingdom","Democracy, local and regional democracy, Promotion of democratic values and education for democratic citizenship, Strengthening civil society, Education and Culture, Art, music, theatre, Cultural policies, Education for Democratic Citizenship, Intercultural Dialogue, Environment and sustanable development, Environment protection, Land development, Rural areas, Health, Public Health, Human rights, Economics and social rights, Legal protection, Promotion and defence of Human Rights, International Co-operation, Conflict meditation, European integration, North-South Dialogue, Promotion of Peace, Media and Communication, Freedom of expression, Media and violence, Security and access to Internet, Rule of Law, Security, Strengthening of international public law, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Intercommunity relations and integration, Sport, Spectator violence","2004"
"Open Society European Policy Institute","OSEPI","Open Society European Policy Institute","OSEPI","Rue d'Idalie 9-13|","1050","Brussels","Belgium","-5121","-5118","www.opensocietyfoundations.org","osepi@opensocietyfoundations.org","","Association","Christopher","Stone","","","","","0","0","0","","","","Belgium, Hungary, United Kingdom, USA","Human rights, Democracy, Social Cohension, Education and Culture, Rule of Law, Health, Media and Communication","2001"
"Organising Bureau of European School Student Unions","OBESSU","Bureau d'Organisation européen des Syndicats d'Elèves","OBESSU","Rue de la Sablonniere 20","1000","Brussels","Belgium","+32 2 6472390","+32 2 6472394","www.obessu.org","","Member fees, Public funding","Association","/","/","/","Giuseppe","BECCIA","Rue de la Sablonniere 20, 1000 Brussels","1975","4","0","English","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Danemark, Spain, Estonia, Finland, France, Ireland, Italy, Lithuania, Netherlands, Norway, Slovenia, Switzerland, Slovakia, Sweden, the former Yugoslav Republic of Macedonia, Bosnia and Herzegovina, Serbia, Iceland","Human rights, Economics and social rights, Children's rights, Gender equality, Fight against racism, Democracy, Promotion of democratic values and education for democratic citizenship, Other, Social Cohension, Fight against poverty and social exclusion, Students, Children, Education and Culture, Education for Democratic Citizenship, Cultural diversity, Youth, Rights of Minorities, Youth policy, Youth participation, Strengthening civil society","0"
"Partners for Democratic Change","PDCI","Partenaires pour le Changement démocratique","*","","","","USA","","","","","","Association","","","","","","","0","0","0","","","","","","0"
"Pax Christi - International Catholic Peace Movement","PCICPM","Mouvement catholique international pour la Paix - Pax Christi","MCIPPC","","","","","","","","","","Association","","","","","","","0","0","0","","","","","","0"
"PAX ROMANA International Catholic Movement for Intellectual and Cultural Affairs","ICMICA","PAX ROMANA Mouvement international des Intellectuels Catholiques","MIIC","3 rue de Varembé","1202","Genève","Switzerland","","","http://www.icmica-miic.org/fr/","ledouble@club-internet.fr","Member fees","Federation","Javier","Iguiniz","LIMA Peru","Philippe","LEDOUBLE","2, impasse du prieuré 71190 Mesvres France","1921","0","0","english french spanish","","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Spain, France, Germany, Hungary, Italy, Netherlands, Poland, Portugal, Romania, Slovenia, Slovakia, Greece, Albania, Latvia, Luxembourg, Ukraine, Serbia, United Kingdom, USA","Human rights, Democracy, Social Cohension, Education and Culture","1949"
"Penal Reform International","PRI","Réforme pénale internationale","PRI","The Bon Marche Centre, 241-251 Ferndale Road","SW9 8BJ","London","United Kingdom","+44 (0) 20 7924 9575","44 (0) 20 7924 9697","www.penalreform.org","headofsecretariat@penalreform.org","Public funding","Association","Rani","Shankardass","","Alison","Hannah","","1989","40","500","English, French, Russian, Arabic","English, French","Human Rights","Georgia, Russian Federation, United Kingdom","Human rights","1993"
"Platform for International Co-operation on Undocumented Migrants","PICUM","Plateforme pour la coopération internationale sur les sans papiers","PICUM","Rue du Congrès 37-41/5","1000","Brussels","Belgium","+32 2 210 17 80","+32 2 210 17 89","picum.org","info@picum.org","Member fees, Public funding, Private donations","Association","Don","Flynn","Royal London House 22 -25 Finsbury Square London EC2A 1DX UK","Michele","LeVoy","Rue du Congrès 37-41/5 1000 Brussels Belgium","2001","9","0","English","","","Austria, Belgium, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Portugal, Romania, Switzerland, Sweden, Greece, Albania, Luxembourg, Malta, Serbia, United Kingdom, USA","Human rights, Promotion and defence of Human Rights, Legal protection, Children's rights, Gender equality, Fight against racism, Trafficking in human beings, Democracy, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Migration, Intercommunity relations and integration, International Co-operation, European integration, Health, Health and Ethics, Public Health, Media and Communication, Media and minorities, Rights of Minorities, Strengthening civil society","2009"
"Quaker Council for European Affairs","QCEA","Conseil Quaker pour les Affaires Européennes","QCEA","Square Ambiorix 50","1000","Brussels","Belgium","+ 32 2 230 49 35","+ 32 2 230 63 70","www.qcea.org","office@qcea.org","Membership fees, Private donations","Association","Oliver","Robertson","c/o QPSW, Friends House, 173-177 Euston Road, London, NW1 2BJ","","","","1979","5","30 000","English, Dutch, Romanian, French and German","English","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Austria, Belgium, Bosnia and Herzegovina, Croatia, Czech Republic, Danemark, Estonia, Finland, France, Georgia, Germany, Hungary, Ireland, Italy, Latvia, Lithuania, Luxembourg, Netherlands, Norway, Poland, Russian Federation, Serbia, Spain, Sweden, Switzerland, Ukraine, United Kingdom","Strengthening civil society, Religion, Environment and sustanable development, Public Health, Human rights, Fight against racism, Gender equality, Promotion and defence of Human Rights, International Co-operation, Conflict meditation, Promotion of Peace, Media and violence, Media assistance, Other, Rule of Law, Penal Law, Security, Social Cohension, Fight against violence, Intercommunity relations and integration, Migration, Refugees, Roma and Travellers","1981"
"Rehabilitation International","RI","Réhabilitation International","RI","1 Liberty Plaza 23rd Floor Office 2342","NY10006","New York","USA","+1 212-420-1500","+1 212-505-0871","www.riglobal.org","info@riglobal.org","Membership fees","Association","Jan A.","Monsbakken","N.K.S. Kloverinstitusjoner AS Munthegate 33 0260 Oslo Norway","Venus","Ilagan","1 Liberty Plaza 23 rd Floor Office 2342 New York NY 10006 USA","1922","4","700","English","English","Democracy, Social Cohesion and Global Challenges","Austria, Belgium, Canada, Czech Republic, Danemark, Finland, Germany, Greece, Ireland, Israel, Italy, Lithuania, Luxembourg, Malta, Norway, Poland, Portugal, Slovakia, Slovenia, Spain, Sweden, Ukraine, United Kingdom, USA","Health, Human rights, International Co-operation, Social Cohension, Disabled persons","1990"
"Reporters without Borders","*","Reporters sans Frontières","*","47 rue Vivienne","75002","Paris","France","01 44 83 84 84","01 45 23 11 51","en.rsf.org","direction@rsf.be","Member fees, Public funding, Private donations","Association","Dominique","GERBAUD","","Christophe","DELOIRE","","1985","25","0","","","","","","0"
"Right to Die Europe","RtDE","Fédération européenne des associations pour le droit de mourir dans la dignité","RtDE","Transvaal, 13","1865 AK","Bergen aan Zee","Netherlands","31625068058","31725816218","www.rtde.eu","hw@rtde.eu; as@rtde.eu","Membership fees","Federation","Aycke","Smook MD","Transvaal 13 1865AK Bergen aan Zee Netherlands","Jet","Van Hoek RN","Mermansstraat 17 2300 Turnhout Belgium","1993","0","32","English French Dutch","Wynne Hugh, Kies Mireille, Bertrand Enrico","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Belgium, Danemark, France, Germany, Israel, Italy, Luxembourg, Netherlands, Norway, Portugal, Spain, Sweden, Switzerland, United Kingdom","Democracy, Promotion of democratic values and education for democratic citizenship, Health, Health and Ethics, Human rights, Gender equality, Promotion and defence of Human Rights, Trafficking in human beings, European integration, Media and Communication, Freedom of expression, Rule of Law, Penal Law, Social Cohension, The elderly","2013"
"Rotary International","RI","Rotary International","RI","1560 Sherman Avenue","60201-3698","Evanston","USA","1 847 866 3000","1847 328 8554","","fxgoettel@aol.com","Member fees, Private donations","Association","Wilfrid","WILKINSON","1560 Sherman Avenue Evanston","Edwin","FUTA","id","1905","400","0","Anglais","Anglais-Français-Espagnol-Japonais-Coréen","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights, Human Rights","Austria, Belgium, Bulgaria, Croatia, Cyprus, Czech Republic, Danemark, Spain, Estonia, Finland, France, Germany, Hungary, Ireland, Italy, Lithuania, Netherlands, Norway, Poland, Portugal, Romania, Slovenia, Switzerland, Slovakia, Sweden, Turkey, Greece, Albania, the former Yugoslav Republic of Macedonia, Liechtenstein, Georgia, Azerbaijan, Armenia, Luxembourg, Malta, Ukraine, Moldova, Bosnia and Herzegovina, Serbia, Iceland, Andorra, San Marino, Monaco, Russian Federation, United Kingdom","Human rights, Democracy, Social Cohension, International Co-operation, Education and Culture, Rule of Law, Health, Environment and sustanable development, Media and Communication, Youth, Sport","2004"
"Russian Peace Foundation","RPF","Fondation russe pour la Paix","RPF","10/2 Prechistenka","119034","Moscow","Russian Federation","+7 495 637-47-19","+ 7 495 637-59-02","www.peacefond.ru","e.v.sutormina@yandex.ru","Private donations","Foundation","Leonid","Slutsky","Prechistanka, 10/2 Moscow 119034 Russian Federation","Elena","Sutormina","Prechistanka, 10/2 Moscow 119034 Russian Federation","46","6","0","Russian, English","Russian","Democracy, Social Cohesion and Global Challenges, Education and Culture, Human Rights","Bulgaria, Germany, Russian Federation, USA","Human rights, Democracy, International Co-operation, Education and Culture, Environment and sustanable development, Media and Communication","2005"
"Service civil international","SCI","Service civil international","SCI","Sint-Jacobsmarkt 82","2000","Antwerp","Belgium","+32-(0)3-2265727","","www.sciint.org","","Member fees, Public funding, Private donations","Association","Paolo","Pagano","C/O SCI Sint-Jacobsmarkt 82 2000 Antwerp Belgium","Sara","Turra","C/O SCI Sint-Jacobsmarkt 82 2000 Antwerp Belgium","1920","3","45","English and national languages","English and national languages","","Austria, Belgium, Bulgaria, Croatia, Spain, Finland, France, Germany, Hungary, Ireland, Italy, Netherlands, Norway, Poland, Romania, Slovenia, Switzerland, Sweden, Greece, Albania, the former Yugoslav Republic of Macedonia, Ukraine, Moldova, Serbia, United Kingdom, Belarus, USA","Human rights, Promotion and defence of Human Rights, Fight against racism, Democracy, Promotion of democratic values and education for democratic citizenship, Social Cohension, Fight against poverty and social exclusion, Fight against violence, Migration, Intercommunity relations and integration, Roma and Travellers, Refugees, International Co-operation, Promotion of Peace, North-South Dialogue, Education and Culture, Education for Democratic Citizenship, Cultural diversity, Environment and sustanable development, Environment protection, Other, Youth, Rights of Minorities, Youth participation, Intercultural Dialogue, Strengthening civil society","0"
"Simon Wiesenthal Centre - Europe","*","Simon Wiesenthal Centre - Europe","*","64 avenue Marceau","75008","Paris","France","-12328","-13089","http://www.csweurope.org","","","Association","","","","","","","0","0","0","","","","","","0"
